id,biz_name,biz_info,biz_phone,biz_phone_ext,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,web_url,web_meta_title,web_meta_desc,web_meta_keys
1,Healthy Changes Family Fitness Center,,(907) 262-3931,,44045 Kalifornsky Beach Rd,Soldotna,AK,99669,99669-8239,USA,Kenai Peninsula,907,2122,,,PST-1,Y,60.4453,60.484379,-151.1785,-151.152633,,,,
2,Polaris Athletic Club,,(907) 345-6658,,11901 Industry Way,Anchorage,AK,99515,99515-3513,USA,Anchorage,907,2020,380,,PST-1,Y,61.1163,61.113179,-149.9028,-149.863435,,,,
3,World Kickboxing Gym,,(907) 243-9999,,Dimond Center Tower,Anchorage,AK,99501,,USA,Anchorage,907,2020,380,,PST-1,Y,61.2169,61.2237855,-149.8682,-149.8702209,,,,
4,Curves For Women,,(907) 455-7775,,607 Old Steese Hwy,Fairbanks,AK,99701,99701-3131,USA,Fairbanks North Star,907,2090,,,PST-1,Y,64.5037,64.850129,-147.6591,-147.696797,,,,
5,Curves-Sitka,,(907) 747-3820,,"208 Lake St, #2e",Sitka,AK,99835,99835-7561,USA,Sitka,907,2220,,,PST-1,Y,56.9471,57.051937,-135.0426,-135.333171,,,,
6,Curves For Women,,(907) 789-4437,,9110 Mendenhall Mall Rd,Juneau,AK,99801,99801-7112,USA,Juneau,907,2110,,,PST-1,Y,58.779,58.372231,-134.5653,-134.585652,,,,
7,Resurrection Bodyworks Fitness Center,,(907) 224-6506,,231 5th Ave,Seward,AK,99664,,USA,Kenai Peninsula,907,2122,,,PST-1,Y,60.3044,60.101576,-148.7177,-149.439065,,,,
8,Get Fit Stay Fit Gym,,(907) 247-3488,,2531 Tongass Ave,Ketchikan,AK,99901,99901-5841,USA,Ketchikan Gateway,907,2130,,,PST-1,Y,55.5909,55.349701,-131.3492,-131.676222,,,,
9,Bonnie Lmt,,(907) 225-7833,,PO Box 7832,Ketchikan,AK,99901,99901-2832,USA,Ketchikan Gateway,907,2130,,,PST-1,Y,55.5909,55.3422222,-131.3492,-131.6461111,,,,
10,Outdoor Sports Center,,(907) 428-0001,,794 N Boniface Pky,Anchorage,AK,99506,99506-1612,USA,Anchorage,907,2020,380,,PST-1,Y,61.2646,61.215291,-149.8047,-149.778574,,,,
11,The Mayfaire,,(301) 737-2897,,21295 Mayfaire Ln,Lexington Park,MD,20653,20653-5318,USA,Saint Marys,301,24037,,,EST,Y,38.2267,38.251647,-76.4333,-76.481554,,,,
